rep,envscenario,comp,mean_alpha
17,16,stable,6.93
17,17,equal,2
17,17,stable,6.99
17,18,equal,2
17,18,stable,3
17,19,equal,1
17,19,stable,5.71
17,20,equal,1
17,20,stable,4
18,1,equal,1.07
18,1,stable,3.23
18,2,equal,1.08
18,2,stable,2.92
18,3,equal,1.11
18,3,stable,2.95
18,4,equal,1.08
18,4,stable,2.94
18,5,equal,1.06
18,5,stable,2.91
18,6,equal,1.13
18,6,stable,3.17
18,7,equal,1.07
18,7,stable,3.01
18,8,equal,1.09
18,8,stable,2.86
18,9,equal,1.13
18,9,stable,2.9
18,10,equal,1.09
18,10,stable,3.28
18,11,equal,1.1
18,11,stable,3.03
18,12,equal,1.08
18,12,stable,3.08
18,13,equal,1.09
18,13,stable,2.91
18,14,equal,1.08
18,14,stable,3.08
18,15,equal,1.05
18,15,stable,3.57
18,16,equal,1.08
18,16,stable,3.47
18,17,equal,1.13
18,17,stable,2.76
18,18,equal,1.08
18,18,stable,3.05
18,19,equal,1.04
18,19,stable,2.65
18,20,equal,1.1
18,20,stable,3.22
19,1,equal,1.07
19,1,stable,3.17
19,2,equal,1.06
19,2,stable,3.57
19,3,equal,1.13
19,3,stable,2.86
19,4,equal,1.09
19,4,stable,3.37
19,5,equal,1.12
19,5,stable,3.1
19,6,equal,1.15
19,6,stable,3.3
19,7,equal,1.11
19,7,stable,2.81
19,8,equal,1.1
19,8,stable,2.91
19,9,equal,1.13
19,9,stable,2.81
19,10,equal,1.11
19,10,stable,4.06
19,11,equal,1.11
19,11,stable,2.86
19,12,equal,1.12
19,12,stable,3.25
19,13,equal,1.12
19,13,stable,3.53
19,14,equal,1.13
19,14,stable,3.17
19,15,equal,1.12
19,15,stable,3.02
19,16,equal,1.12
19,16,stable,2.95
19,17,equal,1.08
19,17,stable,3.25
19,18,equal,1.13
19,18,stable,2.64
19,19,equal,1.08
19,19,stable,2.87
19,20,equal,1.04
19,20,stable,3.05
20,1,equal,2.28
20,1,stable,4.46
20,2,equal,2.41
20,2,stable,3
20,3,equal,1.35
20,3,stable,5.28
20,4,equal,2.62
20,4,stable,2.98
20,5,equal,1.27
20,5,stable,4.4
20,6,equal,1.25
20,6,stable,4.52
20,7,equal,1.58
20,7,stable,3.95
20,8,equal,1.92
20,8,stable,4.44
20,9,equal,2.37
20,9,stable,4.07
20,10,equal,2.27
20,10,stable,3.85
20,11,equal,1
20,11,stable,3.48
20,12,equal,1.65
20,12,stable,4.26
20,13,equal,1.27
20,13,stable,5.79
20,14,equal,2.29
20,14,stable,5.29
20,15,equal,1.41
20,15,stable,4.42
20,16,equal,1.94
20,16,stable,3.99
20,17,equal,1.67
20,17,stable,4.74
20,18,equal,1.72
20,18,stable,2.75
20,19,equal,1
20,19,stable,3.91
20,20,equal,1
20,20,stable,4.11
21,1,equal,2.79
21,1,stable,5.99
21,2,equal,3.44
21,2,stable,8.62
21,3,equal,1.98
21,3,stable,7.19
21,4,equal,3.59
21,4,stable,7.18
21,5,equal,1
21,5,stable,5.86
21,6,equal,2.14
21,6,stable,5.2
21,7,equal,2.86
21,7,stable,4.92
21,8,equal,1.94
21,8,stable,7.55
21,9,equal,1.41
21,9,stable,6.14
21,10,equal,1.98
21,10,stable,8.6
21,11,equal,1
21,11,stable,3.97
21,12,equal,2.8
21,12,stable,4.78
21,13,equal,2
21,13,stable,6.65
21,14,equal,3.1
21,14,stable,8.23
21,15,equal,1
21,15,stable,5.84
21,16,equal,3.05
21,16,stable,6.4
21,17,equal,3.55
21,17,stable,5.66
21,18,equal,2.52
21,18,stable,6.91
21,19,equal,1
21,19,stable,6.56
21,20,equal,1.9
21,20,stable,6.98
22,1,equal,3.35
22,1,stable,5.84
22,2,equal,2.9
22,2,stable,3.99
22,3,equal,2.96
22,3,stable,6.2
22,4,equal,2.17
22,4,stable,5.69
22,5,equal,1.5
22,5,stable,7.79
22,6,equal,2.7
22,6,stable,4
22,7,equal,2.89
22,7,stable,4.85
22,8,equal,2.72
22,8,stable,5.51
22,9,equal,4.16
22,9,stable,10.13
22,10,equal,2.64
22,10,stable,6.02
22,11,equal,1
22,11,stable,2.97
22,12,equal,2.11
22,12,stable,6.87
22,13,equal,3.84
22,13,stable,6.58
22,14,equal,1
22,14,stable,7.16
22,15,equal,3.35
22,15,stable,7.33
22,16,equal,2.86
22,16,stable,7.15
22,17,equal,4.58
22,17,stable,6.79
22,18,equal,2.74
22,18,stable,8.42
22,19,equal,1.99
22,19,stable,4.98
22,20,equal,1.05
22,20,stable,3.96
23,1,equal,2.12
23,1,stable,7.1
23,2,equal,1.78
23,2,stable,3.2
23,3,equal,1
23,3,stable,6.65
23,4,equal,2.07
23,4,stable,4.98
23,5,equal,1.99
23,5,stable,3
23,6,equal,3.35
23,6,stable,4.78
23,7,equal,1
23,7,stable,3
23,8,equal,1.73
23,8,stable,4
23,9,equal,1.93
23,9,stable,3.62
23,10,equal,1
23,10,stable,7.6
23,11,equal,1
23,11,stable,4.98
23,12,equal,2.38
23,12,stable,5.29
23,13,equal,2.45
23,13,stable,6.98
23,14,equal,1.78
23,14,stable,6.14
23,15,equal,2.56
23,15,stable,4.53
23,16,equal,2.5
23,16,stable,6.19
23,17,equal,1.52
23,17,stable,7.16
23,18,equal,1
23,18,stable,5.59
23,19,equal,1
23,19,stable,4.88
23,20,equal,1.57
23,20,stable,5.46
24,1,equal,1.02
24,1,stable,2.7
24,2,equal,1.04
24,2,stable,2.64
24,3,equal,1.02
24,3,stable,2.95
24,4,equal,1.01
24,4,stable,2.67
24,5,equal,1.01
24,5,stable,2.95
24,6,equal,1.04
24,6,stable,2.93
24,7,equal,1.01
24,7,stable,2.58
24,8,equal,1.03
24,8,stable,2.75
24,9,equal,1.01
24,9,stable,2.9
24,10,equal,1.03
24,10,stable,2.79
24,11,equal,1.04
24,11,stable,2.8
24,12,equal,1.02
24,12,stable,3.16
24,13,equal,1.03
24,13,stable,2.49
24,14,equal,1.03
24,14,stable,2.62
24,15,equal,1.02
24,15,stable,3.2
24,16,equal,1.03
24,16,stable,2.65
24,17,equal,1.04
24,17,stable,2.66
24,18,equal,1.05
24,18,stable,2.75
24,19,equal,1.01
24,19,stable,2.43
24,20,equal,1.02
24,20,stable,2.8
25,1,equal,1.05
25,1,stable,2.94
25,2,equal,1.03
25,2,stable,2.53
25,3,equal,1.09
25,3,stable,3.17
25,4,equal,1.03
25,4,stable,2.75
25,5,equal,1.04
25,5,stable,3.12
25,6,equal,1.06
25,6,stable,2.53
25,7,equal,1.05
25,7,stable,2.75
25,8,equal,1.03
25,8,stable,3.11
25,9,equal,1.05
25,9,stable,2.8
25,10,equal,1.02
25,10,stable,2.97
25,11,equal,1.04
25,11,stable,2.53
25,12,equal,1.03
25,12,stable,3.01
25,13,equal,1.08
25,13,stable,3.14
25,14,equal,1.04
25,14,stable,3.03
25,15,equal,1.05
25,15,stable,2.75
25,16,equal,1.04
25,16,stable,3.14
25,17,equal,1.01
25,17,stable,2.54
25,18,equal,1.03
25,18,stable,2.8
25,19,equal,1.03
25,19,stable,3.43
25,20,equal,1.07
25,20,stable,2.89
26,1,equal,2.73
26,1,stable,4.73
26,2,equal,2.27
26,2,stable,4.23
26,3,equal,2.19
26,3,stable,3.99
26,4,equal,2.05
26,4,stable,5.54
26,5,equal,1.58
26,5,stable,3
26,6,equal,2.22
26,6,stable,4.97
26,7,equal,1.3
26,7,stable,5.1
26,8,equal,2.07
26,8,stable,5.16
26,9,equal,2.53
26,9,stable,5.95
26,10,equal,1.49
26,10,stable,5.57
26,11,equal,1
26,11,stable,3.98
26,12,equal,2.44
26,12,stable,4.45
26,13,equal,2.14
26,13,stable,4.98
26,14,equal,1.86
26,14,stable,5.12
26,15,equal,2.29
26,15,stable,5.29
26,16,equal,2.56
26,16,stable,5
26,17,equal,1.78
26,17,stable,5.59
26,18,equal,2.37
26,18,stable,4.96
26,19,equal,1.87
26,19,stable,4.56
26,20,equal,1.62
26,20,stable,5.2
27,1,equal,1.88
27,1,stable,5.98
